session_id,label,outcome,problem_id,item_id,perturbation_type,difficulty,n_windows,max_delta_h1,max_xi_h1,max_negative_balance_h1,max_delta_h2,max_xi_h2,max_negative_balance_h2,max_delta_h4,max_xi_h4,max_negative_balance_h4,max_delta_h8,max_xi_h8,max_negative_balance_h8,max_delta_h16,max_xi_h16,max_negative_balance_h16,max_delta_full,max_xi_full,max_negative_balance_full
cocc-00004-3f14d1963e,0,PASS,2727,2727:clean_control,clean_control,easy,5,0.028774979963503085,0.0017433879035922536,-0.19825661209640777,0.028774979963503085,0.0017433879035922536,-0.19825661209640777,0.028774979963503085,0.0022407135719028884,-0.19775928642809712,,,,,,,0.028774979963503085,0.0035963447697470495,-0.19640365523025297
cocc-00005-7d14c01928,1,FAIL,2754,2754:clean_control,clean_control,medium,9,0.02362880548218959,0.001431596953542019,-0.19856840304645798,0.02362880548218959,0.001431596953542019,-0.19856840304645798,0.06187116431997073,0.007874295371900623,-0.1921257046280994,0.08333618759747032,0.01648636916302251,-0.1835136308369775,,,,0.08333618759747032,0.01648636916302251,-0.1835136308369775
cocc-00006-d4dc294d49,1,FAIL,2755,2755:clean_control,clean_control,medium,9,0.022581144812146278,0.0013681224023333132,-0.1986318775976667,0.022581144812146278,0.0013681224023333132,-0.1986318775976667,0.046205527676301955,0.00622768591610489,-0.19377231408389511,0.046205527676301955,0.010467142918909223,-0.1895328570810908,,,,0.046205527676301955,0.011564601050282753,-0.18843539894971725
cocc-00007-7d230d8e95,1,FAIL,2757,2757:clean_control,clean_control,hard,18,0.01536670032351123,0.0009310213072647159,-0.1990689786927353,0.01536670032351123,0.0009310213072647159,-0.1990689786927353,0.060949344805964624,0.005254476372294053,-0.19474552362770595,0.07106654901484195,0.013378828407065084,-0.18662117159293493,0.12101896530546652,0.0277072490519437,-0.17229275094805632,0.12101896530546652,0.0277072490519437,-0.17229275094805632
cocc-00008-aeeb55e24e,1,FAIL,2727,2727:negation_objective:0,negation_objective,easy,6,0.017777566599978967,0.0010770883109221762,-0.19892291168907783,0.017777566599978967,0.0010770883109221762,-0.19892291168907783,0.06633125985507254,0.0050280292161088294,-0.19497197078389117,,,,,,,0.06633125985507254,0.008738482120082311,-0.1912615178799177
cocc-00009-c2135dd266,1,FAIL,2754,2754:negation_objective:3,negation_objective,medium,8,0.03607360939780351,0.0021855895066759303,-0.19781441049332407,0.03607360939780351,0.003255078021326202,-0.1967449219786738,0.03607360939780351,0.004171142193903521,-0.1958288578060965,0.08400849391237072,0.013268802448222813,-0.1867311975517772,,,,0.08400849391237072,0.013268802448222813,-0.1867311975517772
cocc-00010-36a6dd2fdf,1,FAIL,2755,2755:negation_objective:4,negation_objective,medium,8,0.0901634913385644,0.005462729786247319,-0.1945372702137527,0.0901634913385644,0.005543305366886364,-0.19445669463311366,0.0901634913385644,0.007451501492088014,-0.192548498507912,0.0901634913385644,0.012991960710546445,-0.18700803928945356,,,,0.0901634913385644,0.012991960710546445,-0.18700803928945356
cocc-00011-2ea4c58ac3,1,FAIL,2757,2757:negation_objective:6,negation_objective,hard,18,0.01198873721961963,0.0007263608688708392,-0.19927363913112917,0.01198873721961963,0.0007263608688708392,-0.19927363913112917,0.059459474354212845,0.006209520133716067,-0.19379047986628395,0.21667161472741137,0.02133348059410191,-0.17866651940589812,0.21667161472741137,0.038291923667035266,-0.16170807633296475,0.21667161472741137,0.042698377793549507,-0.1573016222064505
